"Administracion y Finanzas", "Primer curso", "Comunicacion y atencion al cliente", "Gestion de la documentacion juridica y empresarial", "Ofimatica y proceso de la informacion", "Proceso integral de la actividad comercial", "Introduccion a gestion logistica y comercial", "Ingles profesional", "IPE"
"Administracion y Finanzas", "Segundo curso", "Recursos humanos y responsabilidad social corporativa", "Contabilidad y fiscalidad", "Gestion de recursos humanos", "Gestion financiera", "Gestion logistica y comercial", "Simulacion empresarial", "IPE II", "Digitalizacion aplicada a los sectores productivos", "Sostenibilidad aplicada al sistema productivo", "Modulo profesional optativo" 
"Asistencia a la Direccion", "Primer curso", "Ingles profesional", "Gestion de la documentacion juridica y empresarial", "IPE", "Ofimatica y proceso de la informacion", "Proceso integral de la actividad comercial", "Comunicacion y atencion al cliente", "Gestion avanzada de la informacion"
"Asistencia a la Direccion", "Segundo curso", "Resursos humanos y responsabilidad social corporativa", "Frances", "Protocolo empresarial", "Organizacion de eventos empresariales", "Gestion avanzada de la informacion", "IPE II", "Digitalizacion aplicada a los sectores productivos", "Sostenibilidad aplicada al sistema productivo", "Modulo profesional optativo"
"Comercio Internacional", "Primer curso", "Gestion administrativa del comercio internacional", "Gestion economica y financiera de la empresa", "Logistica de almacenamiento", "Transporte internacional de mercancias", "Introduccion a gestion administrativa del comercio internacional", "Ingles profesional", "IPE"
"Comercio Internacional", "Segundo curso", "Comercio digital internacional", "Financiacion internacional", "Marketing internacional", "Medios de pago internacionales", "Negociacion internacional", "Sistema de informacion de mercados", "IPE II", "Digitalizacion aplicada a los sectores productivos", "Sostenibilidad aplicada al sistema productivo", "Lengua extranjera"
"Gestion de Ventas y Espacios Comerciales", "Primer curso", "Gestion economica y financiera de la empresa", "Politicas de marketing", "Marketing digital", "Investigacion comercial", "Introduccion a escaparatismo y diseño de espacios comerciales", "Ingles profesional", "IPE"
"Gestion de Ventas y Espacios Comerciales", "Segundo curso", "Logistica de almacenamiento", "Logistica de aprovisionamiento", "Escaparatismo y diseño de espacios comerciales", "Gestion de productos y promociones en el punto de venta", "Organizacion de equipos de ventas", "Tecnicas de venta y negociacion", "IPE II", "Digitalizacion aplicada a los sectores productivos", "Sostenibilidad aplicada al sistema productivo", "Modulo profesional optativo"
"Marketing y Publicidad", "Primer curso", "Gestion economica y financiera de la empresa", "Politicas de marketing", "Marketing digital", "Investigacion comercial", "Introduccion a diseño y elaboracion de material de comunicacion", "Ingles profesional", "IPE"
"Marketing y Publicidad", "Segundo curso", "Diseño y elaboracion de material de comunicacion", "Medios y soportes de comunicacion", "Relaciones publicas y organizacion de eventos de marketing", "Trabajo de campo en la investigacion comercial", "Lanzamiento de productos y servicios", "Atencion al cliente, consumidor y usuario", "IPE II", "Digitalizacion aplicada a los sectores productivos", "Sostenibilidad aplicada al sistema productivo", "Modulo profesional optativo"
"Transporte y Logistica", "Primer curso", "Gestion administrativa del comercio internacional", "Gestion economica y financiera de la empresa", "Logistica de almacenamiento", "Transporte internacional de mercancias", "Introduccion a gestion administrativa del comercio internacional", "Ingles profesional", "IPE"
"Transporte y Logistica", "Segundo curso", "Comercializacion del transporte y la logistica", "Logistica de aprovisionamiento", "Organizacion del transporte de mercancias", "Organizacion del transporte de viajeros", "IPE II", "Digitalizacion aplicada a los sectores productivos", "Sostenibilidad aplicada al sistema productivo", "Modulo profesional optativo"
"Administracion de Sistemas Informaticos en Red", "Primer curso", "Fundamentos de hardware", "Gestion de bases de datos", "Implantacion de sistemas operativos", "Lenguajes de marcas y sistemas de gestion de la informacion", "Planificacion y administracion de redes", "Fundamentos de programacion", "IPE"
"Administracion de Sistemas Informaticos en Red", "Segundo curso", "Administracion de sistemas gestores de bases de datos", "Administracion de sistemas operativos", "Implantacion de aplicaciones web", "Seguridad y alta disponibilidad", "Servicios de red e internet", "Ingles profesional", "IPE II", "Digitalizacion aplicada a los sectores productivos", "Sostenibilidad aplicada al sistema productivo", "Modulo profesional optativo"
"Desarrollo de Aplicaciones Multiplataforma", "Primer curso", "Bases de datos", "Entornos de desarrollo", "Lenguajes de marcas y sistemas de gestion de informacion", "Programacion", "Sistemas informaticos", "Ampliacion de programacion", "IPE"
"Desarrollo de Aplicaciones Multiplataforma", "Segundo curso", "Acceso a datos", "Desarrollo de interfaces", "Programacion de servicios y procesos", "Programacion multimedia y dispositivos moviles", "Sistemas de gestion empresarial", "Ingles profesional", "IPE II", "Digitalizacion aplicada a los sectores productivos", "Sostenibilidad aplicada al sistema productivo", "Modulo profesional optativo"
"Desarrollo de Aplicaciones Web", "Primer curso", "Bases de datos", "Entornos de desarrollo", "Lenguajes de marcas y sistemas de gestion de informacion", "Programacion", "Sistemas informaticos", "Ampliacion de programacion", "IPE"
"Desarrollo de Aplicaciones Web", "Segundo curso", "Desarrollo web en entorno cliente", "Desarrollo web en entorno servidor", "Despliegue de aplicaciones web", "Diseño de interfaces web", "Ingles profesional", "IPE II", "Digitalizacion aplicada a los sectores productivos", "Sostenibilidad aplicada al sistema productivo", "Modulo profesional optativo"
